Barcode	Cell ID	Cell Name	WellID	Sample	CompoundNo	CompoundConc	Signal	Modified	Created						
2012-10-24 17:46:33	1437	HCC-1954	D13	CRL	0	0	16744	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	D23	BL	0	0	640	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	D24	BL	0	0	20	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	E01	BDR	0	0	2544	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	E02	CRL	0	0	2296	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	E12	CRL	0	0	9076	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	E13	CRL	0	0	12236	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	E23	BL	0	0	88	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	E24	BL	0	0	28	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	F01	BDR	0	0	3144	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	F02	CRL	0	0	6352	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	F12	CRL	0	0	13036	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	F13	CRL	0	0	6932	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	F23	BL	0	0	84	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	F24	BL	0	0	520	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	G01	BDR	0	0	6652	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	G02	CRL	0	0	9900	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	G12	CRL	0	0	12828	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	G13	CRL	0	0	14008	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	G23	BL	0	0	88	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	G24	BL	0	0	32	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	H01	BDR	0	0	5828	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	H02	CRL	0	0	7972	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	H12	CRL	0	0	7276	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	H13	CRL	0	0	10600	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	H23	BL	0	0	88	2012-11-21 17:00:00	2012-11-21 17:00:00						
